orden,sitios,codigo,fecha,año,campaña,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,cr_total_mg_l,cd_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,calidad_de_agua,gobierno_local,sitio,latitud,longitud,Poblacion_partido,Personas_con_cloacas,Actividad_principal,mes,dayofyear,estacion,anio,dia_del_anio
23.0,Polo Petroquímico Dock Sud,AV051,2021-02-24,2021.0,verano,25.3,20.0,4.77,6.61,Ausencia,Ausencia,Ausencia,Ausencia,2000.0,1320.0,450.0,4.3,0.36,1.0,0.44,2.0,30.0,45.0,100.0,5.0,0.001,0.0,0.15,45.0,Muy deteriorada,CABA,Arroyo Santo Domingo,-3.469.195,-5.847.945,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",2.0,55.0,verano,2021.0,55.0
23.0,Polo Petroquímico Dock Sud,AV051,2021-05-19,2021.0,otoño,16.2,14.5,5.95,7.79,Ausencia,Ausencia,Ausencia,Ausencia,5000.0,2400.0,60.0,3.6,3.3,0.33,0.33,6.0,5.2,30.0,80.0,100.0,0.005,0.001,10.0,48.0,Muy deteriorada,CABA,Arroyo Santo Domingo,-3.469.195,-5.847.945,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",5.0,139.0,otoño,2021.0,139.0
23.0,Polo Petroquímico Dock Sud,AV051,2021-08-25,2021.0,invierno,15.1,12.8,3.76,7.11,Ausencia ,Ausencia ,Ausencia ,Ausencia ,40000.0,3000.0,20.0,2.2,2.0,0.61,0.56,3.3,30.0,13.0,100.0,0.005,0.001,0.01,0.2,40.0,Extremadamente deteriorada,CABA,Boca cerrada (res. extra nat. punta Lara),-34.535.878,-58.008.481,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",8.0,237.0,invierno,2021.0,237.0
23.0,Polo Petroquímico Dock Sud,AV051,2021-10-27,2021.0,primavera,23.9,28.0,4.59,6.76,Ausencia,Ausencia,Ausencia,Ausencia,2000.0,100.0,100.0,2.0,1.5,0.25,0.29,2.4,52.0,15.0,100.0,0.005,0.001,0.01,0.2,52.0,Muy deteriorada,CABA,Arroyo Santo Domingo,-3.469.195,-5.847.945,3.121.707,3.049.672,"""Industria Manufacturera""",10.0,300.0,primavera,2021.0,300.0
24.0,Arroyo Sarandí,AV052,2021-02-24,2021.0,verano,25.5,20.0,3.22,6.87,Ausencia,Ausencia,Ausencia,Ausencia,10000.0,3200.0,600.0,4.0,1.6,0.98,0.46,6.4,30.0,32.0,100.0,5.0,0.001,0.005,0.15,39.0,Extremadamente deteriorada,CABA,Arroyo Santo Domingo,-3.469.195,-5.847.945,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",2.0,55.0,verano,2021.0,55.0
24.0,Arroyo Sarandí,AV052,2021-05-19,2021.0,otoño,16.2,14.5,4.67,7.69,Ausencia,Ausencia,Ausencia,Ausencia,9000.0,6400.0,600.0,3.4,2.7,0.48,0.48,7.4,7.1,30.0,75.0,100.0,0.005,0.001,10.0,41.0,Extremadamente deteriorada,CABA,Arroyo Santo Domingo,-3.469.195,-5.847.945,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",5.0,139.0,otoño,2021.0,139.0
24.0,Arroyo Sarandí,AV052,2021-08-25,2021.0,invierno,14.8,12.8,3.7,7.04,Ausencia ,Ausencia ,Ausencia ,Ausencia ,60000.0,3000.0,100.0,2.1,2.2,0.73,0.63,4.8,30.0,11.0,100.0,0.0057,0.001,0.018,0.2,38.0,Extremadamente deteriorada,CABA,Boca cerrada (res. extra nat. punta Lara),-34.535.878,-58.008.481,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",8.0,237.0,invierno,2021.0,237.0
24.0,Arroyo Sarandí,AV052,2021-10-27,2021.0,primavera,21.4,29.1,4.82,6.82,Ausencia,Ausencia,Ausencia,Ausencia,2000.0,1000.0,200.0,2.0,0.1,0.35,0.38,3.5,30.0,13.0,100.0,0.005,0.001,0.01,0.2,50.0,Muy deteriorada,CABA,Arroyo Santo Domingo,-3.469.195,-5.847.945,3.121.707,3.049.672,"""Industria Manufacturera""",10.0,300.0,primavera,2021.0,300.0
26.0,Arroyo Santo Domingo,AV053,2021-02-24,2021.0,verano,26.1,20.0,2.21,7.21,Ausencia,Ausencia,Ausencia,Ausencia,40000.0,39000.0,1300.0,2.8,23.0,0.82,0.79,9.1,30.0,21.0,0.1,7.4,0.001,0.0,0.15,36.0,Extremadamente deteriorada,Avellaneda,Arroyo Santo Domingo,-34.662.789,-58.296.669,367.554,289.059,"""Producción de electricidad, gas y agua""",2.0,55.0,verano,2021.0,55.0
26.0,Arroyo Santo Domingo,AV053,2021-05-19,2021.0,otoño,16.7,14.5,3.41,7.71,Ausencia,Ausencia,Ausencia,Ausencia,32000.0,9000.0,40.0,3.1,2.9,0.61,0.61,8.5,5.1,30.0,50.0,100.0,0.005,0.001,10.0,38.0,Extremadamente deteriorada,Avellaneda,Arroyo Santo Domingo,-34.662.789,-58.296.669,367.554,289.059,"""Producción de electricidad, gas y agua""",5.0,139.0,otoño,2021.0,139.0
